,attendance,entry_mode,id,scheduled,status,utc_offset
0,70918,INGEST,1236801f-c457-4823-a228-72aa9ea651d6,2006-09-10T20:15:57+00:00,closed,-6
1,62578,INGEST,22902292-2e65-40ab-9ca3-009fb50a227c,2006-09-12T02:25:26+00:00,closed,-8
2,70180,INGEST,24c63be6-0a14-48bb-862d-0b05e12485fc,2006-09-10T17:03:06+00:00,closed,-6
3,65577,INGEST,3e51f625-4ba5-4e89-a540-09b162c70873,2006-09-10T17:02:55+00:00,closed,-6
4,67164,INGEST,4acf581f-de35-43d9-ac77-829869ee0a3b,2006-09-10T20:15:45+00:00,closed,-5
5,65087,INGEST,4d046ef9-0f39-4cb2-bf59-faccb398bb63,2006-09-10T17:03:02+00:00,closed,-5
6,77956,INGEST,4e7426b6-5198-4dca-b24d-3ec36559142b,2006-09-10T17:03:08+00:00,closed,-6
7,72915,INGEST,a32a6584-1bb0-4630-8939-f3a2b826ebe2,2006-09-10T17:04:03+00:00,closed,-5
8,64927,INGEST,a84cdffb-aacf-4165-959e-a2225eca1181,2006-09-08T00:38:32+00:00,closed,-5
9,90608,INGEST,c49e2ae3-deab-4da0-affb-bcb9bab69453,2006-09-11T23:11:27+00:00,closed,-5
10,69143,INGEST,cf9b278d-9277-4965-80e5-6683346b5e6c,2006-09-10T17:03:34+00:00,closed,-6
11,78622,INGEST,d1a51a70-09a5-494d-83c6-1faa94d0bcf0,2006-09-11T00:24:10+00:00,closed,-5
12,60535,INGEST,dd914ae3-df24-4515-bc30-5f8e32318f0e,2006-09-10T17:04:21+00:00,closed,-5
13,73522,INGEST,ec2c108f-ab70-47b9-9780-653f7688e50d,2006-09-10T17:03:21+00:00,closed,-5
14,63407,INGEST,f27c72db-f584-4f02-bc34-84f92e75071b,2006-09-10T20:15:46+00:00,closed,-7
15,68756,INGEST,f2bfcd7e-e775-4e22-8b47-bea077a7775b,2006-09-10T17:03:18+00:00,closed,-5
16,70744,INGEST,3339629e-49b0-4451-8658-0b1ca7f49b2f,2006-09-17T17:04:25+00:00,closed,-5
17,67164,INGEST,45e2bca4-8718-41fb-93bd-c5ffff930f2c,2006-09-19T00:40:56+00:00,closed,-5
18,56614,INGEST,49d4fd11-8299-4b6f-a39c-12ab6bfd4ad1,2006-09-17T17:02:43+00:00,closed,-5
19,72797,INGEST,593947a5-9a3b-4eb8-9128-53bff8f0e714,2006-09-17T17:03:44+00:00,closed,-5
20,69241,INGEST,5f90dda3-4fac-4708-af75-2b3df5f3830e,2006-09-17T17:02:39+00:00,closed,-5
21,70602,INGEST,82ec8daf-482e-42fe-b993-8d58f36ea08d,2006-09-17T17:02:45+00:00,closed,-6
22,70828,INGEST,8effc01f-23bd-4be1-8dc3-842f87399ad3,2006-09-17T17:03:24+00:00,closed,-5
23,66072,INGEST,9238dadd-a293-4f49-9e9c-3c388a681576,2006-09-17T17:03:16+00:00,closed,-5
24,64344,INGEST,b7b82619-61cd-4db4-9f2b-fb55cfdd8251,2006-09-17T20:15:42+00:00,closed,-8
25,62181,INGEST,bc389fb7-703c-436f-8606-50b845f00a5a,2006-09-17T17:03:50+00:00,closed,-6
26,76786,INGEST,bd07934e-dcd7-41e6-bf72-4d0c86553813,2006-09-17T20:16:07+00:00,closed,-7
27,77595,INGEST,d5624996-b169-44b1-977e-001de3dfc0dd,2006-09-17T20:15:41+00:00,closed,-5
28,63152,INGEST,e8f0af84-4d57-4313-af91-a351522188c0,2006-09-18T00:21:17+00:00,closed,-6
29,67791,INGEST,ebbff660-68d7-4bda-84a6-21befda10449,2006-09-17T20:05:49+00:00,closed,-8
30,67470,INGEST,f803f5b3-6899-4fd7-9ee1-8436d050f6d0,2006-09-17T20:06:09+00:00,closed,-8
31,63623,INGEST,fd20ee81-9afb-4837-aa60-5103c754c458,2006-09-17T17:03:37+00:00,closed,-6
32,61095,INGEST,020037f0-c035-4502-81ba-13bc4f24655c,2006-09-24T17:02:50+00:00,closed,-5
33,72474,INGEST,1a80c79c-29b6-4fc8-a2d6-f4a2b50c7f5a,2006-09-24T20:06:56+00:00,closed,-5
34,70069,INGEST,373030a2-494d-4f86-915d-92ebbc8b4b21,2006-09-24T17:03:03+00:00,closed,-6
35,68756,INGEST,4604f7e8-8591-4103-af13-9852945f25b8,2006-09-25T00:20:58+00:00,closed,-5
36,68161,INGEST,7bc751bb-6ba3-4c96-8ff4-2c7d496c5829,2006-09-24T20:15:44+00:00,closed,-8
37,72067,INGEST,876ecff8-833f-4bdf-b1df-a980642259dc,2006-09-24T17:03:58+00:00,closed,-5
38,63278,INGEST,8f1e5fad-33b4-4bc7-9611-06bbd86bc221,2006-09-24T20:15:48+00:00,closed,-7
39,68166,INGEST,a3cff799-04f4-4b90-969e-445c70a3f3f5,2006-09-24T20:15:22+00:00,closed,-8
40,72733,INGEST,a91bfabe-1f7a-43b6-a528-58c02fdb7c08,2006-09-24T17:02:49+00:00,closed,-5
41,57041,INGEST,c0012f6f-e9c1-4966-8008-a507ee51e2e9,2006-09-24T17:02:30+00:00,closed,-5
42,65423,INGEST,c44c63ef-8aa1-4c91-90c0-959529b99092,2006-09-24T17:03:03+00:00,closed,-5
43,64922,INGEST,f79117f9-00c4-491c-9da6-a0052082b856,2006-09-24T17:03:20+00:00,closed,-5
44,63754,INGEST,f7e43c46-8633-472b-a66d-0983a2ae0183,2006-09-24T17:03:01+00:00,closed,-6
45,70003,INGEST,f95886a4-8671-47f5-8322-83540ea08edf,2006-09-26T00:48:10+00:00,closed,-6
46,69222,INGEST,23e98dbf-d40d-4b83-8f06-7604485bc9b7,2006-10-03T00:41:01+00:00,closed,-5
47,89450,INGEST,29f72003-fa4d-4e63-a3ef-2f0969d91938,2006-10-01T20:15:53+00:00,closed,-5
48,77190,INGEST,518f541c-168a-41ec-94f2-4c3cf6f6133e,2006-10-01T17:02:43+00:00,closed,-5
49,71972,INGEST,5b7c0e01-b5da-4d9a-a141-69a75e5cd00a,2006-10-01T17:03:32+00:00,closed,-5
50,61426,INGEST,60f2ac50-00ec-4f73-8396-4ec1b7e3de6b,2006-10-01T20:15:36+00:00,closed,-8
51,77609,INGEST,675aa622-cedc-4289-a52f-86892f6e594e,2006-10-01T17:02:50+00:00,closed,-6
52,73392,INGEST,8f9df327-b713-43e1-b05c-81ba93454561,2006-10-01T17:03:35+00:00,closed,-5
53,68981,INGEST,aa2c95a1-f591-4bf8-b49f-c579f2b180d2,2006-10-01T17:03:34+00:00,closed,-5
54,70071,INGEST,ab3a8e6a-4b0e-4500-aa7f-b20ce3b49330,2006-10-01T17:02:53+00:00,closed,-6
55,66035,INGEST,b422baff-1081-4a6d-af78-db526a1707d8,2006-10-01T20:15:41+00:00,closed,-5
56,62225,INGEST,c9062f77-33c0-4eb9-b8a9-5d55bf14a84d,2006-10-02T00:21:03+00:00,closed,-6
57,65563,INGEST,caf3d807-5199-4d67-abfe-298f69d4ba23,2006-10-01T20:06:05+00:00,closed,-6
