,attendance,entry_mode,id,scheduled,status,utc_offset,weather
0,65307,INGEST,026298a3-bb4f-481e-90be-25755e0e77e0,2007-09-09T17:02:51+00:00,closed,-6,
1,61547,INGEST,10cc507b-b60c-4591-99e4-2cafe947ec42,2007-09-09T20:15:20+00:00,closed,-8,
2,57361,INGEST,27d693fa-c385-4181-a241-7223722470c9,2007-09-07T00:39:36+00:00,closed,-5,
3,62815,INGEST,2aa16dc8-e481-4b75-b1b5-dcdadcd08f0a,2007-09-09T17:02:40+00:00,closed,-6,
4,67837,INGEST,2cacb8e6-5e61-4d55-977d-1d8209852a1d,2007-09-09T20:15:46+00:00,closed,-8,
5,73089,INGEST,645a5079-4193-4bd9-b020-c9f4504e2a2a,2007-09-09T17:03:16+00:00,closed,-5,
6,68111,INGEST,75e63f7b-e030-43e8-b00e-59e3e3efa9e6,2007-09-11T02:25:45+00:00,closed,-8,
7,70598,INGEST,8e2d0d8c-a251-4ebe-95cc-0542e4e86749,2007-09-09T17:04:50+00:00,closed,-6,
8,68044,INGEST,973a3b05-68e1-4b9f-a025-e4822a688cc2,2007-09-09T20:15:35+00:00,closed,-8,
9,77900,INGEST,9a7b43e5-6d10-4046-bdf6-113aabc728aa,2007-09-09T17:04:31+00:00,closed,-5,
10,66093,INGEST,9d4e6861-77e9-4a35-8dfe-ebc9d4336e12,2007-09-10T23:10:19+00:00,closed,-5,
11,70080,INGEST,9ee303de-467c-4870-91c1-e27375f7e2b7,2007-09-09T17:02:50+00:00,closed,-6,
12,90163,INGEST,d8b8ecdc-d509-4e09-af75-fdbd6cda51d7,2007-09-09T17:02:34+00:00,closed,-5,
13,63031,INGEST,df70c3e4-b511-4161-9438-1a158feea331,2007-09-10T00:24:09+00:00,closed,-6,
14,71132,INGEST,f54b594a-682a-4731-a42a-a402e91f16b4,2007-09-09T17:02:57+00:00,closed,-5,
15,65437,INGEST,f60ffac4-39cd-408f-946c-1344282573a6,2007-09-09T17:03:23+00:00,closed,-5,
16,64307,INGEST,00737fd6-b29f-48be-95d3-79260cebad76,2007-09-16T17:02:43+00:00,closed,-5,
17,78701,INGEST,132b0a1f-b3f8-44ed-8cae-cefc1abeea2c,2007-09-16T17:03:29+00:00,closed,-5,
18,62095,INGEST,347a4182-bd9d-42b0-98cc-a94eb6f3aa39,2007-09-16T20:15:41+00:00,closed,-6,
19,71615,INGEST,3b4fdf03-cdcc-4811-9596-3ce0eba9869a,2007-09-16T20:05:30+00:00,closed,-5,
20,71246,INGEST,3d0379d3-90c3-4a66-8595-a66688dfee7c,2007-09-16T20:15:34+00:00,closed,-5,
21,73665,INGEST,5a4f02c8-7d3a-495e-a585-83e4b8421602,2007-09-16T17:02:52+00:00,closed,-5,
22,69143,INGEST,6552ffd6-bdc4-47df-b735-1938fb7e8512,2007-09-16T17:02:29+00:00,closed,-6,
23,61821,INGEST,7b10c701-f643-44ab-b9bd-68da646f9910,2007-09-16T17:02:53+00:00,closed,-5,
24,72801,INGEST,7cba37f4-1443-4688-965d-9651d3de4df4,2007-09-16T17:03:05+00:00,closed,-5,
25,67726,INGEST,8034d44f-a2c8-4a86-94a4-2a62312415b1,2007-09-18T00:40:40+00:00,closed,-5,
26,61771,INGEST,81b98858-ae92-44cd-a953-61c0c53d6179,2007-09-16T20:05:47+00:00,closed,-5,
27,64542,INGEST,a220bb52-8782-4d83-8cf3-0d4aacd755d9,2007-09-16T20:05:56+00:00,closed,-7,
28,68756,INGEST,ae5452ef-ed2c-487c-b39e-d7420efec7d0,2007-09-17T00:24:31+00:00,closed,-5,
29,65178,INGEST,d4f11629-160a-448c-91f1-1247fe85fe30,2007-09-16T17:03:02+00:00,closed,-5,
30,76784,INGEST,e45ad607-b2fb-445a-8208-816c4f82525b,2007-09-16T20:15:24+00:00,closed,-7,
31,65295,INGEST,f6ee073c-5d4c-4722-ba4f-8944dd824f7b,2007-09-16T17:02:50+00:00,closed,-6,
32,90803,INGEST,00d45752-05dd-45da-9ea2-89c93bf1cf3f,2007-09-23T20:15:09+00:00,closed,-5,
33,78038,INGEST,0de1f6ee-a9d3-4f36-8ab1-0cf006a8ba4a,2007-09-23T17:02:46+00:00,closed,-6,
34,65267,INGEST,2748f4e7-cf52-4345-9491-667cae9a9ade,2007-09-23T17:02:39+00:00,closed,-5,
35,51075,INGEST,308ab78d-d6d8-4e33-8149-2c771c7c5340,2007-09-23T20:05:39+00:00,closed,-8,
36,70733,INGEST,55b12379-1f25-46a6-ba72-639b4780ddd6,2007-09-23T17:02:43+00:00,closed,-6,
37,71372,INGEST,6fbcf08c-66d2-46d8-98f6-9303a88b0ff0,2007-09-23T17:03:47+00:00,closed,-5,
38,64313,INGEST,7483c16d-a2ac-4d21-9709-b46d8059a353,2007-09-23T17:02:49+00:00,closed,-5,
39,70765,INGEST,8c735313-32c5-4510-b994-86f04ecfa6ee,2007-09-23T17:02:33+00:00,closed,-6,
40,68175,INGEST,93dc762a-7180-4591-9f55-12b3a2639dc1,2007-09-23T20:15:10+00:00,closed,-5,
41,62099,INGEST,987815ee-06d8-46f0-b159-fc4071e542e3,2007-09-24T00:24:16+00:00,closed,-6,
42,77197,INGEST,b62ce260-7579-4d67-8bdc-002db8f8b11e,2007-09-23T17:02:29+00:00,closed,-5,
43,67570,INGEST,bf4112ad-6db1-4d30-a00f-c4770a3b7ba6,2007-09-23T17:02:40+00:00,closed,-5,
44,70002,INGEST,cecec785-d9a6-4d9b-b6e8-7e1b6e628400,2007-09-25T00:40:46+00:00,closed,-6,
45,76463,INGEST,de4a51d1-80d7-4fa6-8f83-330ee5899246,2007-09-23T20:05:30+00:00,closed,-7,
46,68756,INGEST,e14b2f99-c9ea-4292-94c0-1546b9d70b05,2007-09-23T17:02:22+00:00,closed,-5,
47,68110,INGEST,e248d435-ee2d-439b-9ee9-45233cdf8781,2007-09-23T20:05:29+00:00,closed,-8,
48,60811,INGEST,15d285d4-6ab1-4c17-84f7-0ef2e348127d,2007-09-30T17:03:15+00:00,closed,-5,
49,63779,INGEST,2d92fdac-0fe2-4a06-9f15-f53fa3e704cf,2007-09-30T17:03:03+00:00,closed,-6,
50,62866,INGEST,37d74107-85f6-498f-a4ed-060149366b3b,2007-09-30T17:02:28+00:00,closed,-6,
51,66113,INGEST,3d8d41b9-f982-47af-bb12-8409b0439d09,2007-10-02T00:40:30+00:00,closed,-5,
52,73024,INGEST,5cbef177-fdc6-46c9-9c2c-4edfbc56a6ee,2007-09-30T17:02:53+00:00,closed,-5,
53,70621,INGEST,63b3e21b-1c82-4e60-aed5-37a0b905ee56,2007-09-30T17:32:18+00:00,closed,-5,
54,64844,INGEST,64e75445-c616-4bcf-a6d0-3cd2ee6da46d,2007-09-30T20:14:48+00:00,closed,-7,
55,57274,INGEST,74b07298-ced6-4704-a89a-222372b7688a,2007-09-30T20:15:12+00:00,closed,-5,
56,67651,INGEST,7a90e811-8da1-47fc-a817-e7b466dc074f,2007-09-30T20:05:03+00:00,closed,-8,
57,78862,INGEST,a7cb2687-297f-4f64-97a2-8c987ac2be56,2007-10-01T00:23:19+00:00,closed,-5,
58,69312,INGEST,bd755aa4-fa53-4180-aa71-9ebda3fc80f5,2007-09-30T17:02:33+00:00,closed,-5,
59,73707,INGEST,d16a65c3-36ce-4956-bec1-89aafbf62fa0,2007-09-30T20:06:06+00:00,closed,-5,
60,70600,INGEST,e994322c-72ee-4207-b8de-292a1a3357d3,2007-09-30T17:02:07+00:00,closed,-5,
61,65175,INGEST,fab47fc5-a5f7-4ccc-9820-521a4fad2f59,2007-09-30T20:15:13+00:00,closed,-8,
62,76917,INGEST,02725fd5-ba9b-4643-8eec-622d148b122d,2007-10-07T17:02:56+00:00,closed,-6,
63,69143,INGEST,182f7769-d0f8-4baf-88b9-f42307d91c6d,2007-10-07T17:04:34+00:00,closed,-6,
64,70001,INGEST,2b0b2c76-4a91-4f12-b3be-2bee3bf5dbfc,2007-10-07T17:03:23+00:00,closed,-6,
65,71575,INGEST,396423e5-7a2f-41b8-b5b0-0c7cac2a06ae,2007-10-09T00:41:09+00:00,closed,-5,
66,70904,INGEST,6df96635-84d0-4d9d-a1b3-f651ab60a501,2007-10-08T00:24:41+00:00,closed,-6,
67,68756,INGEST,821e7488-0b19-4289-8238-347b8ce81c0e,2007-10-07T17:02:51+00:00,closed,-5,
68,76879,INGEST,9fe03ac9-0688-4681-a335-ede441ef0b88,2007-10-07T20:15:53+00:00,closed,-7,
69,88944,INGEST,a3231665-7693-4cac-8e88-17a14a045ffa,2007-10-07T17:02:55+00:00,closed,-5,
70,64478,INGEST,ad72c706-9418-4840-81e6-b73b4a87c043,2007-10-07T17:03:24+00:00,closed,-5,
71,78809,INGEST,b896a3a4-8f64-45c5-ba09-a80baa78e2e7,2007-10-07T17:03:00+00:00,closed,-5,
72,67885,INGEST,c6155fd6-64cb-4b3c-9fc9-b4c5f71d3dce,2007-10-07T20:15:17+00:00,closed,-8,
73,57202,INGEST,d3cbd979-ac12-4649-81c1-8c746d92fcd3,2007-10-07T20:05:35+00:00,closed,-5,
74,70156,INGEST,ed6b549b-0c78-4519-ae8f-92c7efd90e37,2007-10-07T17:02:50+00:00,closed,-6,
75,61788,INGEST,fabbb57c-6852-4f32-ab7c-52b35aa0c1a5,2007-10-07T17:02:53+00:00,closed,-6,
76,64403,INGEST,16656bb8-97c8-473a-8940-23e175f3f94c,2007-10-14T20:05:58+00:00,closed,-7,"Temp: 82 F, Humidity: 20%, Wind: w 6 mph"
77,63715,INGEST,1fffed30-e113-4a3d-a38a-cb34a7063db5,2007-10-14T17:03:43+00:00,closed,-5,
78,63984,INGEST,4daad295-d185-4872-9f5c-983c237b7b23,2007-10-14T20:17:58+00:00,closed,-6,
79,62174,INGEST,50d086ab-1440-4485-9f0e-9e0e020e2a68,2007-10-14T17:02:31+00:00,closed,-6,
80,67523,INGEST,5a0808bc-402c-4fb0-a1e8-ce8d5a600767,2007-10-14T20:17:42+00:00,closed,-8,
81,71175,INGEST,65a59a5b-382f-4f1a-b5b5-bfa7cc8dcc02,2007-10-14T17:03:31+00:00,closed,-5,
82,65347,INGEST,8e85328b-a5f8-4ab5-9f00-609fee4e5d59,2007-10-14T17:02:49+00:00,closed,-5,
83,73198,INGEST,9543adf2-8dc7-4135-83be-276a1f6b5233,2007-10-14T17:03:00+00:00,closed,-5,
84,70761,INGEST,9a392359-ec28-4c16-b590-01008753e801,2007-10-14T17:03:27+00:00,closed,-6,
85,77189,INGEST,ae5f2c28-b631-4c1e-9adf-0ba2916c8f07,2007-10-14T17:02:49+00:00,closed,-5,
86,76846,INGEST,b96dbc39-fa74-4d66-a63a-4322066a7a22,2007-10-14T17:02:42+00:00,closed,-6,
87,69828,INGEST,c9ceae70-5676-4a06-b809-c579a89412d9,2007-10-16T00:40:15+00:00,closed,-5,
88,68296,INGEST,cfa32c2d-cf04-4022-9788-2716da5036b2,2007-10-15T00:23:14+00:00,closed,-8,
89,69994,INGEST,04b3407c-f966-44c7-bf56-506a81dd6aeb,2007-10-21T17:03:56+00:00,closed,-6,
90,70734,INGEST,391bad92-fe79-4af4-a8af-a09c570a58fd,2007-10-21T17:02:51+00:00,closed,-6,
91,60442,INGEST,55a0a853-38b6-45bc-8762-f56fe91d876d,2007-10-21T17:03:02+00:00,closed,-5,
92,71951,INGEST,655d737f-552e-418f-820c-bc6dfef13c84,2007-10-21T17:02:41+00:00,closed,-5,
93,67806,INGEST,72085b9d-1994-423e-9557-20d281314d73,2007-10-21T20:15:30+00:00,closed,-5,
94,65868,INGEST,7ba3ac1c-7286-4fb2-9953-4e39c0643c58,2007-10-21T20:05:31+00:00,closed,-5,
95,70727,INGEST,8518195c-c3aa-4a1f-a52a-316f1a35a546,2007-10-21T17:02:39+00:00,closed,-5,
96,67164,INGEST,86515c87-4d36-4964-96a4-d22a7896861d,2007-10-23T00:40:36+00:00,closed,-5,
97,63432,INGEST,9d9fd23a-92ed-4cfe-8235-62ef7216fbad,2007-10-21T20:15:23+00:00,closed,-6,
98,85640,INGEST,a3b36944-6d14-403c-817e-c0109f7b2b95,2007-10-21T17:02:45+00:00,closed,-5,
99,68164,INGEST,c3642c07-5b97-4629-96b3-a65d184dba66,2007-10-21T20:15:42+00:00,closed,-8,
100,77038,INGEST,dd332b84-79b6-473d-a7bf-4f24189cadb7,2007-10-22T00:23:41+00:00,closed,-7,
101,78912,INGEST,de358357-17cf-47f3-8335-fa9fbcda989c,2007-10-21T17:03:06+00:00,closed,-5,
102,62240,INGEST,fa5b97d1-cab1-4164-9b56-5982692a97e4,2007-10-21T20:05:40+00:00,closed,-8,
103,66188,INGEST,04f03d2b-fb76-4c75-8eaf-01c58f0011d5,2007-10-28T17:02:57+00:00,closed,-5,
104,65133,INGEST,2310b777-43bb-4b75-95f6-a2dacd07d333,2007-10-28T20:05:46+00:00,closed,-5,
105,74005,INGEST,32231249-5090-488b-9133-2754fadb5b1e,2007-10-28T18:02:31+00:00,closed,-5,
106,69143,INGEST,7ab1b300-6bee-48b3-9a3d-824f5951dd32,2007-10-28T17:02:42+00:00,closed,-6,
107,60439,INGEST,86c6f5df-3248-4b41-9a5a-31bd36ada2e1,2007-10-28T20:07:51+00:00,closed,-8,
