,attendance,entry_mode,id,scheduled,status,utc_offset,weather
0,62310,INGEST,012b10ac-2c8b-442c-acbd-37d7bd90e86b,2008-09-07T17:04:42+00:00,closed,-5,
1,69881,INGEST,0e6a786d-2158-4513-b8ff-aaa34c3b760b,2008-09-07T17:02:57+00:00,closed,-6,
2,69144,INGEST,2c87b093-ce80-4f49-af61-3929c38ccb25,2008-09-07T17:03:36+00:00,closed,-5,
3,68756,INGEST,2d93d86a-81b0-4626-b64b-55e2d5b777a1,2008-09-07T17:02:41+00:00,closed,-5,
4,71194,INGEST,31234b93-6101-438e-bcea-a494c4969435,2008-09-07T17:03:10+00:00,closed,-5,
5,79742,INGEST,3843afb6-94a9-456b-b20e-468e9fa662ae,2008-09-04T23:07:39+00:00,closed,-5,
6,62762,INGEST,3957a1f3-1d1f-4e20-9d1e-ccaa55587891,2008-09-09T02:23:21+00:00,closed,-8,
7,67115,INGEST,62797908-d79c-4252-809e-77c1d898ed3e,2008-09-07T20:15:51+00:00,closed,-8,
8,66822,INGEST,919d287a-d7dc-4f39-b803-9eacb51407d2,2008-09-08T00:23:33+00:00,closed,-5,
9,70978,INGEST,936bf30c-7632-47c6-b146-0fd5ed759c82,2008-09-07T17:03:44+00:00,closed,-5,
10,71004,INGEST,9a6e9b92-4fb0-4d9f-91d7-8277006647f3,2008-09-08T23:10:32+00:00,closed,-6,
11,73012,INGEST,a4d90022-c2f3-4606-915c-46e29851b003,2008-09-07T20:16:14+00:00,closed,-5,
12,69143,INGEST,ae95c8ed-4eb5-4c9c-a892-f4fd4b06d1af,2008-09-07T17:03:17+00:00,closed,-6,
13,67186,INGEST,c9e552f9-33e9-4eb8-a7da-1b827b8f7c6b,2008-09-07T20:16:49+00:00,closed,-8,
14,65859,INGEST,cc63ba7e-d125-4b0e-8a4c-29258a8c02ef,2008-09-07T17:02:56+00:00,closed,-5,
15,64001,INGEST,d1631835-8b42-40e1-a5a0-56b7bcd5cb41,2008-09-07T17:03:16+00:00,closed,-5,
16,75915,INGEST,242874b4-2124-4c80-9da1-1332990c73c6,2008-09-14T20:15:57+00:00,closed,-7,
17,63472,INGEST,258c5118-cb1e-499d-8eb0-4cc0c3984ece,2008-09-16T00:40:41+00:00,closed,-6,
18,74480,INGEST,2c63354e-223a-433f-9b8e-ba5150ef25a1,2008-09-14T17:02:33+00:00,closed,-6,
19,63585,INGEST,2e331fc2-31db-49fc-8678-e7eb4c1e849a,2008-09-14T17:02:24+00:00,closed,-6,
20,63611,INGEST,415d3f29-2ee4-47ca-a700-10d8eba44af1,2008-09-14T20:05:21+00:00,closed,-5,
21,61377,INGEST,47729c5c-5e3e-4ed9-8a9b-e8055aa206e3,2008-09-14T17:04:20+00:00,closed,-6,
22,73828,INGEST,67d3e4e4-83ed-4007-99c4-0c5041360f0c,2008-09-14T17:04:27+00:00,closed,-5,
23,88246,INGEST,a14bfd0c-4a6e-4eea-8e6f-5a531ee564e5,2008-09-14T17:03:30+00:00,closed,-5,
24,78554,INGEST,b47d373e-533c-496b-be39-e66a5335f59f,2008-09-14T20:15:49+00:00,closed,-5,
25,63445,INGEST,b934c5f5-4c69-4632-8357-784b3474fd70,2008-09-14T20:15:48+00:00,closed,-7,
26,73048,INGEST,c83d90d9-f496-4fb9-ab35-c9b52f52e879,2008-09-15T00:23:12+00:00,closed,-5,
