,attendance,entry_mode,id,scheduled,status,utc_offset,weather
0,67044,INGEST,0052ee6b-cf3e-4618-b30f-addbd4f32420,2010-09-12T20:16:15+00:00,closed,-8,
1,71297,INGEST,23899287-05a0-43ef-9802-e693e26524ac,2010-09-14T02:20:47+00:00,closed,-6,
2,52440,INGEST,29270278-295d-4fb8-9fce-bd82db299b31,2010-09-12T20:15:48+00:00,closed,-6,
3,78127,INGEST,35c8c305-f698-472a-809d-4b787497be93,2010-09-13T23:26:37+00:00,closed,-5,
4,63609,INGEST,441885c0-9482-410e-8ac3-7473052f34bd,2010-09-12T17:03:09+00:00,closed,-5,
5,47211,INGEST,48a8cbaa-d785-47ee-95e5-2a63f0a3352f,2010-09-12T17:02:46+00:00,closed,-5,
6,69295,INGEST,4c35cc31-0ce1-4527-879d-695bac288b3f,2010-09-12T17:02:33+00:00,closed,-5,
7,63636,INGEST,5f82280a-2597-4d99-abf4-76d131b93ff6,2010-09-12T17:03:09+00:00,closed,-5,
8,70974,INGEST,7493de43-d058-4eaf-a439-656336eeb2bc,2010-09-12T17:02:50+00:00,closed,-6,
9,68756,INGEST,7eab1c77-8743-4e6b-8d6b-30d7f2c9b687,2010-09-12T17:02:41+00:00,closed,-5,
10,90670,INGEST,89d3aaef-4775-4a7f-b42b-fd7c1e3a22ea,2010-09-13T00:30:59+00:00,closed,-5,
11,62080,INGEST,a1eefbab-3733-47b5-99d4-b3d117ae006c,2010-09-12T17:02:43+00:00,closed,-6,
12,70051,INGEST,bd3cdaa7-4d77-4ab8-abb6-54913a0a15ed,2010-09-10T00:41:42+00:00,closed,-6,
13,69143,INGEST,c4eb1aab-da74-4715-a9f8-2b941266e43a,2010-09-12T17:02:56+00:00,closed,-6,
14,77245,INGEST,dbb79922-7336-42c8-b7a8-9e9e4bd5484f,2010-09-12T17:04:02+00:00,closed,-5,
15,69144,INGEST,f9f5db4e-71b4-4405-827b-211a75448d45,2010-09-12T20:15:46+00:00,closed,-5,
16,56688,INGEST,099f60d3-0ffc-49f1-9e91-31a59b0bc624,2010-09-19T17:02:50+00:00,closed,-5,
17,48396,INGEST,12e85cf7-0278-425a-9f5f-8f03343c53ab,2010-09-19T20:05:48+00:00,closed,-8,
18,88240,INGEST,22f501d4-bda6-4fd7-8f1d-aef46f4395e6,2010-09-19T20:15:36+00:00,closed,-5,
19,72577,INGEST,47b969ed-f270-4fac-982b-dbf31ed87ad8,2010-09-19T17:04:08+00:00,closed,-5,
20,69143,INGEST,4baefe1c-b614-4ff6-88eb-73e58fe371cd,2010-09-19T17:02:29+00:00,closed,-6,
