,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset,weather
0,71180,INGEST,0651e14f-55b0-403f-9ff0-d0f11261490d,6,55509,2012-09-09T17:03:08+00:00,closed,-6,
1,70523,INGEST,1c5b1b11-4f35-4c35-9952-f7ba1267dd23,12,55515,2012-09-09T20:25:41+00:00,closed,-6,
2,76823,INGEST,2b736f4f-6608-41ed-80e9-a7eabd5b5b9c,14,55517,2012-09-10T00:31:04+00:00,closed,-7,
3,62341,INGEST,437c79b9-ff27-4fed-9899-07ef79e789da,2,55505,2012-09-09T17:02:36+00:00,closed,-6,
4,56607,INGEST,548315c0-cd08-4715-b6a2-cb093b6da797,7,55510,2012-09-09T17:02:29+00:00,closed,-6,
5,68693,INGEST,61064b59-e31b-40c8-a1e9-f06dbe510636,3,55506,2012-09-09T17:03:44+00:00,closed,-5,
6,62315,INGEST,6ea85017-196f-410d-92db-66799b110c7a,4,55507,2012-09-09T17:03:12+00:00,closed,-5,
7,82287,INGEST,8c0bce5a-7ca2-41e5-9838-d1b8c356ddc3,1,55504,2012-09-06T00:41:22+00:00,closed,-5,
8,60032,INGEST,9baf8d67-424b-46dd-b47e-d1f975f6d80d,11,55514,2012-09-09T20:25:55+00:00,closed,-7,
9,71064,INGEST,a24be3cb-3993-46b0-98a5-dedf278ba7f7,15,55518,2012-09-10T23:11:43+00:00,closed,-5,
10,71566,INGEST,a980f016-419a-40ef-ad48-957a12481e06,5,55508,2012-09-09T17:02:56+00:00,closed,-6,
11,51533,INGEST,a9d5654c-7ec2-4865-ad4a-01d16186dfe0,13,55516,2012-09-09T20:26:11+00:00,closed,-5,
12,69143,INGEST,ac73c14d-a974-4721-933e-d90d437b12fd,10,55513,2012-09-09T17:03:01+00:00,closed,-6,
13,72180,INGEST,bf9a4d33-9ec9-4349-9f8e-95f1d9c4ab19,8,55511,2012-09-09T17:03:46+00:00,closed,-6,
14,79088,INGEST,d5c8a042-7689-4526-bc6f-d902bb283e8d,9,55512,2012-09-09T17:03:16+00:00,closed,-5,
15,61896,INGEST,fadd283f-66b2-4cfe-89d9-ad1036d864f8,16,55519,2012-09-11T02:25:26+00:00,closed,-8,
16,69144,INGEST,004d3292-821f-4093-a1ef-4a10927eaec7,25,55528,2012-09-16T17:03:42+00:00,closed,-5,
17,68756,INGEST,05ba0eb5-cc0c-4999-aee8-1ddd197a66a1,23,55526,2012-09-16T17:03:17+00:00,closed,-5,
18,62907,INGEST,2061b908-2cef-4392-98e7-28be8e581c24,22,55525,2012-09-16T17:03:58+00:00,closed,-5,
19,72879,INGEST,37796d82-3be5-4084-83c6-4cf4b2361191,19,55522,2012-09-16T17:03:42+00:00,closed,-5,
20,60804,INGEST,3cfb5ab2-c319-49f5-8ce5-8b4da14144f6,30,55533,2012-09-16T20:25:58+00:00,closed,-8,
21,70543,INGEST,624f53e3-c31c-4439-ad2b-6269907c49bd,17,55520,2012-09-14T00:29:45+00:00,closed,-6,
22,69732,INGEST,69202002-f224-4c87-a499-ada8775aa19e,31,55534,2012-09-17T00:30:40+00:00,closed,-8,
23,70427,INGEST,8e72d0de-954a-423e-a17e-be35d6d147cf,32,55535,2012-09-18T00:42:03+00:00,closed,-5,
24,63912,INGEST,925d1052-00d5-4799-bfee-970c3c5f6ea6,21,55524,2012-09-16T17:03:33+00:00,closed,-5,
25,63036,INGEST,a18a77d3-651a-45ec-9c29-2c6f70454ad4,20,55523,2012-09-16T17:02:54+00:00,closed,-5,
26,76964,INGEST,b098946b-24cd-4756-b15e-f150709b4a87,24,55527,2012-09-16T17:03:05+00:00,closed,-5,
27,64511,INGEST,b39f914b-cdbc-44f8-bdf2-725dc5122c55,29,55532,2012-09-16T20:25:51+00:00,closed,-5,
28,69402,INGEST,c8ed1cc0-e8cd-452d-9921-bde312ec2248,18,55521,2012-09-16T17:02:57+00:00,closed,-5,
29,53979,INGEST,d35e05ff-b548-4544-8e1a-be2dbc0015fc,26,55529,2012-09-16T20:06:00+00:00,closed,-6,
30,54245,INGEST,eac82e72-f11d-4e2c-97c7-5c243da77687,28,55531,2012-09-16T17:02:09+00:00,closed,-5,
31,68008,INGEST,f17a6bd7-35d0-4f21-aca9-bf59261ed818,27,55530,2012-09-16T20:05:44+00:00,closed,-8,
32,63536,INGEST,0710508f-241b-4eb1-a39e-91a7dd97e2f6,37,55540,2012-09-23T17:03:01+00:00,closed,-5,
33,81984,INGEST,1a33d801-3ed7-4dfe-9627-b79655818716,36,55539,2012-09-23T17:05:12+00:00,closed,-6,
34,62373,INGEST,25b0855d-c3db-4aab-ac8c-3668fc21cc59,46,55549,2012-09-23T20:25:48+00:00,closed,-8,
35,57288,INGEST,34a343ce-97e9-4c65-9560-87681886ec1b,39,55542,2012-09-23T17:03:09+00:00,closed,-6,
36,68218,INGEST,4b7a2283-42e4-4ea5-8eb8-58e69b3d8fa0,48,55551,2012-09-25T00:41:25+00:00,closed,-8,
37,61297,INGEST,55240ff2-7bc0-4a12-a11f-b98f7b455d7d,44,55547,2012-09-23T20:04:59+00:00,closed,-8,
38,69143,INGEST,842c8697-299c-46f0-b60f-2a0c81f65fbf,41,55544,2012-09-23T17:03:40+00:00,closed,-6,
39,71269,INGEST,86f3c1d8-362d-4a78-b904-3d8175642d0e,47,55550,2012-09-24T00:31:00+00:00,closed,-5,
