,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset
0,85348,INGEST,05e9531d-e7e7-45c8-ae5a-91a2eb8acfa8,14,55850,2013-09-09T00:30:42+00:00,closed,-6
1,69519,INGEST,268a558b-ca2a-418e-8f46-8e3ce202363d,2,55838,2013-09-08T17:02:51+00:00,closed,-5
2,69732,INGEST,2b972664-949e-4025-9f3d-48b3484674cd,13,55849,2013-09-08T20:26:11+00:00,closed,-8
3,59416,INGEST,327f19da-5407-49bd-bcc8-298f69d99751,8,55844,2013-09-08T17:03:00+00:00,closed,-5
4,65412,INGEST,4869a6d0-4ef7-4712-a620-d10ffd8722d6,7,55843,2013-09-08T17:02:51+00:00,closed,-5
5,71513,INGEST,56e13273-73f7-4b57-8e79-e1b88268f32a,5,55841,2013-09-08T17:02:31+00:00,closed,-5
6,73294,INGEST,5a28bf90-8f71-479d-9016-9dcd2ebea4c4,3,55839,2013-09-08T17:03:32+00:00,closed,-5
7,55279,INGEST,6726b995-cb4c-4582-b729-fd9c21d063d2,12,55848,2013-09-08T20:26:23+00:00,closed,-6
8,61585,INGEST,77c4d7dc-6196-4d58-864d-5e70e06e9070,11,55847,2013-09-08T17:02:50+00:00,closed,-5
9,59522,INGEST,7dd862f9-21d6-4768-89f8-f82929ae575c,16,55852,2013-09-10T02:25:37+00:00,closed,-8
10,76977,INGEST,880d99e7-8c18-4a1a-882c-e0d96e8ecf15,1,55837,2013-09-06T01:13:55+00:00,closed,-7
11,76957,INGEST,b9d81c1f-fa7b-46b3-ada4-4354bc2a9909,10,55846,2013-09-08T17:03:16+00:00,closed,-5
12,62461,INGEST,be8f3ead-127f-4ccf-8882-006d18f93b7b,6,55842,2013-09-08T17:02:36+00:00,closed,-5
13,62213,INGEST,c91ae72a-289b-41c1-ae02-ce7d733bf9a1,4,55840,2013-09-08T17:02:50+00:00,closed,-6
14,72348,INGEST,e036a429-1be6-4547-a99d-26602db584f9,9,55845,2013-09-08T17:03:51+00:00,closed,-6
15,82743,INGEST,e6aad620-bbaf-4510-96f0-d2e8086c256d,15,55851,2013-09-09T23:10:21+00:00,closed,-5
16,64585,INGEST,04937dbf-6755-4617-a9b2-0b843d470181,32,55868,2013-09-17T00:41:11+00:00,closed,-5
17,62181,INGEST,0613eb13-6c71-4309-b833-ba2fa6412df1,21,55857,2013-09-15T17:03:21+00:00,closed,-6
18,71098,INGEST,11484a7c-33e2-4742-b912-c9313d2cd22b,19,55855,2013-09-15T17:06:53+00:00,closed,-5
19,68756,INGEST,270c4e8d-bf5c-4e60-bf20-9add63d900f4,17,55853,2013-09-13T00:29:46+00:00,closed,-5
