,attendance,entry_mode,id,number,reference,scheduled,sr_id,status,utc_offset,weather
0,58699,INGEST,0822b924-eadc-4398-bfe6-83cbbf3a2912,4,57570,2018-09-09T17:00:00+00:00,sr:match:14387832,closed,-5,"Cloudy Temp: 59 F, Humidity: 91%, Wind: NE 11 mph"
1,73038,INGEST,0a456149-c547-4856-9b1b-86e1d93887ae,8,57574,2018-09-09T17:00:00+00:00,sr:match:14387818,closed,-6,"Partly Cloudy Temp: 86 F, Humidity: 67%, Wind: SW 5 mph"
2,65184,INGEST,63047598-04c4-4b94-9674-94beead0724e,5,57571,2018-09-09T17:00:00+00:00,sr:match:14387828,closed,-5,"Scattered Showers Temp: 89 F, Humidity: 63%, Wind: WSW 7 mph"
3,53857,INGEST,8a46621a-752e-4e68-9446-7f6686967064,16,57582,2018-09-11T02:20:00+00:00,sr:match:14387862,closed,-8,"Clear Temp: 69 F, Humidity: 58%, Wind: WSW 10 mph"
4,61613,INGEST,8ac7b300-8f92-4a20-a357-4710fd3be679,11,57577,2018-09-09T20:25:00+00:00,sr:match:14387850,closed,-8,"N/A Indoor Temp:  F, Wind:   mph"
5,66673,INGEST,8e70d260-ec90-447e-8fdd-10572742d742,6,57572,2018-09-09T17:00:00+00:00,sr:match:14387824,closed,-6,"N/A (Indoors) Temp:  F, Wind:   mph"
6,76761,INGEST,8f19fa37-ab1a-4624-935e-297d74e20eb8,13,57579,2018-09-09T20:25:00+00:00,sr:match:14387844,closed,-7,"Sunny Temp: 84 F, Humidity: 17%, Wind: Northeast 5 mph"
7,77992,INGEST,9b12fe52-4398-4976-92e8-35055e996afc,9,57575,2018-09-09T17:00:00+00:00,sr:match:14387814,closed,-5,"Rain Temp: 59 F, Humidity: 85%, Wind: NE 7 mph"
8,78282,INGEST,afec5a57-23c7-4900-bdba-aed594d500a5,14,57580,2018-09-10T00:20:00+00:00,sr:match:14387854,closed,-6,"Clear Temp: 62 F, Humidity: 65%, Wind: E 10 mph"
9,61352,INGEST,b8b1fd3a-179f-4e49-ac5b-315265826c1f,15,57581,2018-09-10T23:10:00+00:00,sr:match:14387858,closed,-5,"Controlled Climate Temp: 68 F, Humidity: 70%, Wind:   mph"
10,25351,INGEST,b92cb9c2-c053-4b5a-9861-98460beeaf42,10,57576,2018-09-09T20:05:00+00:00,sr:match:14387840,closed,-8,"Sunny Temp: 84 F, Humidity: 52%, Wind: SW 8 mph"
11,69696,INGEST,bb7895ff-a4be-4471-97ed-3ba4c150470b,1,57567,2018-09-07T00:20:00+00:00,sr:match:14387810,closed,-5,"Cloudy Temp: 81 F, Humidity: 71%, Wind: NNW 8 mph"
12,70591,INGEST,d02693ec-73c7-41bf-a272-f2ebe9df4801,2,57568,2018-09-09T17:00:00+00:00,sr:match:14387812,closed,-5,"Rain Temp: 61 F, Humidity: 97%, Wind: ENE 12 mph"
13,74532,INGEST,d4214f4c-8f54-4edf-81d8-45f8b95e0b65,12,57578,2018-09-09T20:25:00+00:00,sr:match:14387848,closed,-5,"Partly Cloudy Temp: 81 F, Humidity: 74%, Wind: East North East 9 mph"
14,65878,INGEST,d8d0ab6b-214a-41ec-be5b-973abf1cfbbe,7,57573,2018-09-09T17:00:00+00:00,sr:match:14387820,closed,-5,"Cloudy and Cool Temp: 62 F, Humidity: 61%, Wind: NE 10 mph"
15,67431,INGEST,db9df049-a3a4-46a2-be3b-278066e6145e,3,57569,2018-09-09T17:00:00+00:00,sr:match:14387834,closed,-5,"Rain Temp: 58 F, Humidity: 84%, Wind: East 11 mph"
16,68527,INGEST,015f9d66-9910-4975-8be5-923fa2d9a518,30,57596,2018-09-16T20:25:23+00:00,sr:match:14387904,closed,-5,"Rain Chance 40% Temp: 97 F, Humidity: 46%, Wind: West 15 gusts up to 25 mph"
17,76696,INGEST,121e7597-9757-4bb3-a6c0-68e306e5e785,29,57595,2018-09-16T20:25:00+00:00,sr:match:14387910,closed,-7,"Sunny Temp: 92 F, Humidity: 13%, Wind: South 4 mph"
18,63956,INGEST,199ef568-b373-409d-8d38-403285ce0d54,23,57589,2018-09-16T17:00:00+00:00,sr:match:14387882,closed,-5,"Partly Cloudy Temp: 80 F, Humidity: 65%, Wind: From ESE 10 mph"
19,50018,INGEST,1e636f91-ad6a-4981-9018-e4639a459a76,17,57583,2018-09-14T00:20:00+00:00,sr:match:14387866,closed,-5,"Clear Temp: 82 F, Humidity: 54%, Wind: N 3 mph"
20,90512,INGEST,3b535c6d-b185-4ebb-bdaa-93206b63f031,31,57597,2018-09-17T00:20:00+00:00,sr:match:14387914,closed,-6,"Temp:  F, Wind:   mph"
21,57013,INGEST,68dede99-7477-4cc9-9e4a-16b5ad351b54,26,57592,2018-09-16T17:00:00+00:00,sr:match:14387872,closed,-5,"Cloudy Temp: 71 F, Humidity: 88%, Wind: ENE 5 mph"
22,56552,INGEST,7cbcab87-9bf7-4784-8ead-a0eede1b1099,24,57590,2018-09-16T17:00:00+00:00,sr:match:14387878,closed,-5,"Cloudy Temp: 91 F, Humidity: 65%, Wind: SSW 9 mph"
23,77982,INGEST,7d853567-d8b2-4f01-a58c-5d6eb8bd2146,22,57588,2018-09-16T17:00:00+00:00,sr:match:14387886,closed,-5,"Sunny Temp: 80 F, Humidity: 63%, Wind: East 4 MPh mph"
24,62372,INGEST,96ebe9ea-08dd-427e-b4e6-03d1f10242b9,25,57591,2018-09-16T17:00:00+00:00,sr:match:14387874,closed,-6,"Cloudy Temp: 81 F, Humidity: 63%, Wind: NE 12 mph"
25,69187,INGEST,ac1d2365-d2f9-4adf-bca1-d3e87699d7ab,19,57585,2018-09-16T17:00:00+00:00,sr:match:14387890,closed,-5,"Fair Temp: 83 F, Humidity: 63%, Wind: SE 6 mph"
26,72528,INGEST,d7f67053-4a68-4b3f-8393-24da671ef5cc,18,57584,2018-09-16T17:00:00+00:00,sr:match:14387870,closed,-5,"Temp:  F, Wind:   mph"
27,66515,INGEST,e9624f6c-179d-49d9-8c27-1afe483811a5,27,57593,2018-09-16T20:05:00+00:00,sr:match:14387902,closed,-8,"Sunny Temp: 86 F, Humidity: 35%, Wind: SW 2 mph"
28,78461,INGEST,ee90b916-9817-498b-b290-254335875f46,20,57586,2018-09-16T17:00:00+00:00,sr:match:14387894,closed,-6,"Partly Cloudy Temp: 80 F, Humidity: 71%, Wind: S 5 mph"
29,73086,INGEST,eeb43536-5af7-46f8-b6f6-492609679c68,21,57587,2018-09-16T17:00:00+00:00,sr:match:14387896,closed,-6,"Clear Temp: 90 F, Humidity: 68%, Wind: NW 1 mph"
30,70164,INGEST,fef99d20-322b-4d02-8795-eba5838aa959,28,57594,2018-09-16T20:05:00+00:00,sr:match:14387898,closed,-8,"Clear Temp: 73 F, Wind: NW 12 mph"
31,57960,INGEST,ff8d64d5-ba07-49e5-8340-1f97915c2a34,32,57598,2018-09-18T00:15:00+00:00,sr:match:14387918,closed,-6,"Clear Temp: 79 F, Humidity: 62%, Wind: ESE 2 mph"
32,72161,INGEST,1470d7c2-4ff2-474e-b9bd-0f776bb98f49,36,57602,2018-09-23T17:00:00+00:00,sr:match:14387944,closed,-5,"Cloudy Temp: 80 F, Humidity: 69%, Wind: NNE 3 mph"
33,61769,INGEST,1d536b32-6aac-40e9-8bc9-b5c174a187ea,47,57613,2018-09-24T00:20:00+00:00,sr:match:14387968,closed,-5,"Controlled Climate Temp: 68 F, Humidity: 70%, Wind:   mph"
34,74457,INGEST,479688c1-078d-4348-b459-1fbb2724e1c6,34,57600,2018-09-23T17:00:00+00:00,sr:match:14387926,closed,-5,"Temp:  F, Wind:   mph"
35,70156,INGEST,5060c8c3-48da-4a52-bea6-2450cff36084,35,57601,2018-09-23T17:00:00+00:00,sr:match:14387942,closed,-5,"Light Rain Temp: 61 F, Humidity: 91%, Wind: NNE 5 mph"
36,64015,INGEST,5d701ec4-79a3-4e8c-8c00-bf2ed55d090d,38,57604,2018-09-23T17:00:00+00:00,sr:match:14387952,closed,-5,"Temp: 89 F, Humidity: 61%, Wind: EAST 10MPH mph"
37,67431,INGEST,60cafa48-8293-487f-b4e7-26dea4036b89,33,57599,2018-09-21T00:20:00+00:00,sr:match:14387922,closed,-5,"Temp: 83 F, Humidity: 64%, Wind: SE 11 mph"
38,68947,INGEST,79f689e4-4243-4504-b82c-3ed06ccde9d7,44,57610,2018-09-23T20:05:00+00:00,sr:match:14387958,closed,-8,"Sunny Temp: 80 F, Humidity: 50%, Wind: SW 5 mph"
39,66800,INGEST,79f9c6ea-0d7c-4424-8f36-e42a213815da,41,57607,2018-09-23T17:00:00+00:00,sr:match:14387936,closed,-6,"N/A (Indoors) Temp:  F, Wind:   mph"
40,76023,INGEST,9330f29e-cdce-4ad7-86d2-8d1f7ea0173e,39,57605,2018-09-23T17:00:00+00:00,sr:match:14387956,closed,-6,"Clear and sunny Temp: 70 F, Humidity: 64%, Wind: East Southeast 4 mph"
41,62163,INGEST,939eb3ec-bf18-4a1a-8950-946f3106fb6d,45,57611,2018-09-23T20:25:00+00:00,sr:match:14387964,closed,-8,"N/A Indoor Temp:  F, Wind:   mph"
42,69696,INGEST,980b1fc2-5db5-46c0-892c-f9dfec147b04,42,57608,2018-09-23T17:00:00+00:00,sr:match:14387934,closed,-5,"Rain Temp: 61 F, Humidity: 92%, Wind: NE 5 mph"
43,62571,INGEST,af571e14-a48e-43bd-966f-8e3250e59d9e,48,57614,2018-09-25T00:15:00+00:00,sr:match:14387974,closed,-5,"Cloudy Temp: 77 F, Humidity: 89%, Wind: N 5 mph"
44,69047,INGEST,b36f9451-723d-4306-9dd0-c63e86122be2,46,57612,2018-09-23T20:25:00+00:00,sr:match:14387960,closed,-8,"Sunny Temp: 61 F, Humidity: 59%, Wind: SSE 4 mph"
